хорошо играешь ?	хорошо играете?
#удалил значит	удалили значит
#уже включил	уже включила
#уже нашел .	уже нашла .
#уже открыл !	уже открыла !
#уже отработала ?	уже отработали ?
#уже передал	уже передала
#уже , поел	уже , поела
#уже поел	уже поела
#уже поела ?	уже поели ?
уже помог спасибо	уже помогли спасибо
#уже придумал .	уже придумала .
#уже принес	уже принесла
#уже проснулся	уже проснулась
#уже рассказал	уже рассказала
#уже решил	уже решила
уже сдала а ты ?	уже сдала а вы ?
#уже сделал	уже сделала
#уже сказал	уже сказала
#уже собрал	уже собрала
#уже спросил	уже спросили
#уже увидел	уже увидела
#улыбнулся	улыбнулась
у меня , все ! заработало	у меня все заработало
учился у тебя	училась у вас
учись пока я жива !	учитесь пока я жива !
фиолетовый , а твой ?	фиолетовый , а ваш?
фиолетовый а твой ?	фиолетовый а ваш?
фиолетовый , а у тебя ?	фиолетовый , а у вас?
ха , а тебе сколько ?	ха , а вам сколько ?
ха а тебе сколько ?	ха а вам сколько ?
ха вспоминай давай	ха вспоминайте давай
ха , и тебе добра	ха , и вам добра
ха нашел ?	ха нашли ?
ха нашла ?	ха нашли ?
ха привет и тебе	ха привет и вам
ха что я сказал	ха что я сказала
хорошо тебе !	хорошо вам!
хорошо , твой ?	хорошо , ваш?
хорошо , как скажешь .	хорошо , как скажете
хорошо постаралась	хорошо постарались
хорошо прошел . а твой ?	хорошо прошел . а ваш?
хорошо прошел , твой как ?	хорошо прошел , ваш как ?
#хотел бы	хотела бы
чего . говори давай	чего . давайте говорите 
чего не сделаешь ради тебя	чего не сделаешь ради вас
чего там забыла ?	чего там забыли ?
чем занят ?	чем заняты ?
чем занята ?	чем заняты ?
#чем не угодил ? !	чем не угодила ? !
чем увлекаешься ?	чем увлекаетесь?
чему рад ?	чему рады ?
черный а у тебя ?	черный а у вас?
черный и фиолетовый . а твой ?	черный и фиолетовый . а ваш?
#читал	читала
читал . . я много чего читал . .	читала . . я много чего читала . .
читала , да ?	читали , да ?
#читала ?	читали ?
что будешь ?	что будете?
чтобы знал	чтобы знали
что тебе делать ?	что вам делать ?
что тебе показать ?	что вам показать ?
что те рассказать ?	что вам рассказать ?
что тебе	что вам
что ты дакаешь	что вы дакаете
что ты хочешь ? улыбнулся	что вы хотите ? улыбнулась
что делала весь день ?	что делали весь день ?
#что забыла ? ха	что забыли ? ха
#что забыла ?	что забыли ?
#что заметила ?	что заметили ?
что знаешь ?	что знаете?
#что знал ?	что знали ?
#что знала ?	что знали ?
что именно тебе интересно ?	что именно вам интересно ?
что именно не поняла ?	что именно не поняли ?
что можешь ?	что можете?
#что написал ?	что написала ?
#что написал ?	что написали ?
#что нашел ?	что нашли ?
#что нашел	что нашли
#что нашла ! ?	что нашли ! ?
#что нашла ?	что нашли ?
что не веришь ?	что не верите?
что не понял ?	что не поняли ?
#что понял ?	что поняли ?
#что поняла ?	что поняли ?
что слышал	что слышали
что слышала	что слышали
что смеешься ?	что смеетесь?
что смотришь ?	что смотрите?
что там забыл ?	что там забыли ?
что я тебе должен	что я вам должна
что я говорил ?	что я говорила ?
что я должен знать ?	что я должна знать ?
что я сказал ?	что я сказала ?
что я там забыл ?	что я там забыла ?
шире улыбнулся	шире улыбнулась
это верно . . . ты прав	это верно . . . вы правы
это не про тебя .	это не про вас.
это печально . . . , с	это печально . . . 
это хорошо . рада за тебя .	это хорошо . рада за вас.
это хорошо . чем занята ?	это хорошо . чем заняты ?
я большой	я большая
я буду очень рад .	я буду очень рада .
я был бы только за .	я была бы только за .
я бы помыл	я бы помыла
я бы съел	я бы съела
я бы хотел	я бы хотела
я тебе напомню	я вам напомню
я тебе не врал . . .	я вам не врала . . .
я тебе не детка	я вам не детка
я тебе спать не дам	я вам спать не дам
я тебе удалю	я вам удалю
я тебя тоже видел	я вас тоже видела
я в тебе не сомневаюсь	я в вас не сомневаюсь
я верю тебе	я верю вам
я видел	я видела
я включил	я включила
я всегда о тебе помню	я всегда о вас помню
я всегда прав	я всегда права
я всегда серьезный	я всегда серьезная
я все люблю а у тебя ?	я все люблю а у вас?
я все о тебе знаю	я все о вас знаю
я выиграл	я выиграла
я выслал	я выслала
я добрый	я добрая
я догадался	я догадалась
я думал быстрее . . .	я думала быстрее . . .
я еще не приставал	я еще не приставала
я же ответил	я же ответила
я же рассказал !	я же рассказала !
я закончил	я закончила
я заметил . ага .	я заметила . ага .
я занят сейчас	я занята сейчас
я записал	я записала
я запомнил , что ты запомнил , что я запомнил	я запомнила , что вы запомнили , что я запомнила
я запомнил .	я запомнила .
я злой ?	я злая?
я знал что ты знал .	я знала что вы знали .
я извинился уже	я извинилась уже
я и не выздоравливал	я и не выздоравливала
я и не отказывался	я и не отказывалась
я и не приставал	я и не приставала
я и не просил	я и не просила
я и не собирался	я и не собиралась
я и не сомневался ха	я и не сомневалась ха
я и не шутил	я и не шутила
я и рассказал	я и рассказала
я и сказал 10	я и сказала 10
я исправил	я исправила
я итак слушаю	я и так слушаю
я к тебе не приставал .	я к вам не приставала .
я крепкий !	я крепкая !
я любопытный	я любопытная
я много что о тебе знаю . . .	я много что о вас знаю . . .
я на все ответил	я на все ответила
я настолько предсказуем ?	я настолько предсказуема ?
я нашел !	я нашла !
я нашел	я нашла
я не блоггер	я не блогер
я не больной	я не больная
я не брошу тебя .	я не брошу вас.
я не видела прости	я не видела простите
я не врал	я не врала
я не злой	я не злая
я не злопамятный .	я не злопамятная .
я не изменял	я не изменяла
я не купался .	я не купалась .
я немного занят	я немного занята
я не наезжал	я не наезжала
я не обзывал	я не обзывала
я не оскорблял	я не оскорбляла
я не приставал .	я не приставала .
я не пробовал	я не пробовала
я не скрывал	я не скрывала
я не скрытный	я не скрытная
я не собирался спать	я не собиралась спать
я не соглашался	я не соглашалась
я не считал	я не считала
я не такой .	я не такая .
я не хотел , извини	я не хотела , извините
я не шутил сейчас	я не шутила сейчас
я не шутил .	я не шутила .
я не шутил	я не шутила
я не этого хотел	я не этого хотела
я никогда не скрывал	я никогда не скрывала
я объяснил почему	я объяснила почему
я округлил	я округлила
я оскорблен .	я оскорблена .
я ответил .	я ответила .
я ответил	я ответила
я очень любопытный	я очень любопытная
я очень рад , что тебе приятно	я очень рада , что вам приятно
я очень рад	я очень рада
я польщен .	я польщена .
я поставил уже	я поставила уже
я правда очень рад	я правда очень рада
я предсказуем	я предсказуема
я приказал	я приказала
я рад ха	я рада ха
я рад , что тебе понравилось	я рада , что вам понравилось
я рад что тебе приятно	я рада что вам приятно
я рад что ты рада	я рада что вы рада
я рад , что ты рад	я рада , что вы рады
я сам не умею	я сама не умею
я сам себя расстроил	я сама себя расстроила
я самый добрый в мире	я самая добрая в мире
я самый сильный	я самая сильная
я свое отработал .	я свое отработала .
я сегодня хотел	я сегодня хотела
я серьезен	я серьезна
я сказал да !	я сказала да !
я сказал да	я сказала да
я сказал нет .	я сказала нет .
я сказал нет	я сказала нет
я скинул	я скинула
я смешной	я смешная
я смущен ! спасибо .	я смущена ! спасибо .
я с ним не знаком .	я с ним не знакома .
я справедливый	я справедливая
я сразу извинился	я сразу извинилась
я старался	я старалась
я счастлив	я счастлива
я такой , да	я такая , да
я такой , какой есть .	я такая , какая есть .
я такого не говорил .	я такого не говорила .
я так стар	я так стара
я там и искал	я там и искала
я там не регистрировался	я там не регистрировалась
я тоже голодный	я тоже голодная
я тоже думаю о тебе	я тоже думаю о вас
я тоже нашел	я тоже нашла
я тоже не сомневался .	я тоже не сомневалась .
я тоже обиделся	я тоже обиделась
я тоже рад за себя	я тоже рада за себя
я тоже рад как ты ?	я тоже рада как вы ?
я тоже рад , что ты рада	я тоже рада , что вы рады
я тоже рад	я тоже рада
я уверена что ты ошибаешься !	я уверена что вы ошибаетесь !
я уверен	я уверена
я увидел	я увидела
я уже взрослый !	я уже взрослая !
я уже кушал	я уже кушала
я уже подписал	я уже подписала
я уже понял	я уже поняла
я уже придумал	я уже придумала
я уже сдался	я уже сдалась
я уже спросил	я уже спросила
я уже станцевал	я уже станцевала
я умный	я умная
тебе это не нужно знать	вам это не нужно знать
